id,caminho_original,nome_original,extensao,nome_proposto,categoria,status_antes_da_execucao,sha256
001,logotipo-520x520.png,logotipo-520x520.png,png,marcus-reboque-logotipo-fortaleza-ce-01.png,01_LOGOTIPOS,seguro_para_renomeacao,86310A403CC941B7363307810B90A81C072958FF59436FC087B889B5415DBD3D
002,Photos-3-001/7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,jpg,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,14_PEQUENAS_CARGAS,seguro_para_renomeacao,153F323523F800DBD8A71E3C5A9AB87C26814FD256C56589D09721636BFD8AFD
003,Photos-3-001/9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,jpg,9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,10_MAQUINAS_AGRICOLAS,pendente_revisao,2EAB123D17D4DCF4AF1D20AFFA0D1C40F49ED81D40C3F9FCE913E8E46AD7DE6B
004,Photos-3-001/78d20617-5dd3-4494-b42f-061f4561708c.jpg,78d20617-5dd3-4494-b42f-061f4561708c.jpg,jpg,marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,04_CARROS,seguro_para_renomeacao,0A55D11B4C61497189F7C3495A21740D80E65D5715C2D5540BD475038D509941
005,Photos-3-001/694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,jpg,marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,04_CARROS,seguro_para_renomeacao,C5A14DECD0D232BC9433747A7C8567E5AE4BEC99DF8A23217F1BEAC66A5E2F55
006,Photos-3-001/c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,jpg,marcus-reboque-guincho-van-fortaleza-ce-01.jpg,06_VANS,seguro_para_renomeacao,743DE2111E68D29F36531417C53BA1E3D4C40BA1A231C0DF008FD36BFCDD64C6
007,Photos-3-001/c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,jpg,marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,03_MOTOS,seguro_para_renomeacao,DA2D7026667D52E04F8DBE858AFF5C8EA6879983FB9DE653C6C60BCD7B93D78A
008,Photos-3-001/unnamed (1).webp,unnamed (1).webp,webp,marcus-reboque-guincho-moto-fortaleza-ce-02.webp,03_MOTOS,seguro_para_renomeacao,F7460A81C06858A1B248E5EA8EE5171914C939FF7613890AAD8537BF63E6BE41
009,Photos-3-001/unnamed (2).webp,unnamed (2).webp,webp,unnamed (2).webp,10_MAQUINAS_AGRICOLAS,pendente_revisao,58FA47EC51A0B133CC9BC0D7CBA0E034E14DF52684E5F102660FEA61F8E5E93E
010,Photos-3-001/unnamed (3).webp,unnamed (3).webp,webp,marcus-reboque-guincho-carro-fortaleza-ce-03.webp,04_CARROS,seguro_para_renomeacao,3D40C9843A3A36870B2D6E6E3A3A5AFB38DB21DEF706C9DF0E8A7573EC15F738
011,Photos-3-001/unnamed (4).webp,unnamed (4).webp,webp,marcus-reboque-guincho-moto-fortaleza-ce-03.webp,03_MOTOS,seguro_para_renomeacao,93EA35B334B19FF2F2627A8CDA8CD76B8C13034FE7D6A575FFD6AB6938E75A53
