caminho_atual,nome_atual,nome_proposto,categoria,confianca,duplicidade,observacoes
logotipo-520x520.png,logotipo-520x520.png,marcus-reboque-logotipo-fortaleza-ce-01.png,01_LOGOTIPOS,alto,nao,arquivo de marca; preservar proporcao quadrada
Photos-3-001/7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,7f119755-2119-4a7f-be97-56dcbdd6f8b8.jpg,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,14_PEQUENAS_CARGAS,alto,nao,carga bem identificavel; amarracao visivel
Photos-3-001/9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,9fd0c14f-2416-4990-a1b8-050f3f983b42.jpg,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-01.jpg,10_MAQUINAS_AGRICOLAS,medio,nao,maquina compacta; nao e possivel confirmar uso agricola
Photos-3-001/78d20617-5dd3-4494-b42f-061f4561708c.jpg,78d20617-5dd3-4494-b42f-061f4561708c.jpg,marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,04_CARROS,alto,nao,imagem clara do servico
Photos-3-001/694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,694e2c35-ff23-44b8-80ea-b343e4bf9660.jpg,marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,04_CARROS,alto,possivel semelhante a #017 e #058,possivel sequencia de atendimento com sedan vermelho
Photos-3-001/c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,c4ca50b7-8799-4452-8ec1-c8798d201b4b.jpg,marcus-reboque-guincho-van-fortaleza-ce-01.jpg,06_VANS,alto,nao,ha marca de terceiro no veiculo transportado; usar com cautela
Photos-3-001/c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,c48ccf76-6e68-4b38-bf80-d9a7ebe008e9.jpg,marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,03_MOTOS,alto,nao,moto bem visivel
Photos-3-001/unnamed (1).webp,unnamed (1).webp,marcus-reboque-guincho-moto-fortaleza-ce-02.webp,03_MOTOS,alto,nao,luz artificial; bom apoio para servico 24h
Photos-3-001/unnamed (2).webp,unnamed (2).webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-02.webp,10_MAQUINAS_AGRICOLAS,medio,nao,imagem inclinada; maquina claramente visivel
Photos-3-001/unnamed (3).webp,unnamed (3).webp,marcus-reboque-guincho-carro-fortaleza-ce-03.webp,04_CARROS,alto,nao,bom registro de atendimento diurno
Photos-3-001/unnamed (4).webp,unnamed (4).webp,marcus-reboque-guincho-moto-fortaleza-ce-03.webp,03_MOTOS,alto,nao,"imagem clara, com enquadramento central"
Photos-3-001/unnamed (5).webp,unnamed (5).webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-01.webp,05_CAMINHONETES,alto,possivel semelhante a #023,data sobreposta no canto; possivel mesmo atendimento de #023
Photos-3-001/unnamed (6).webp,unnamed (6).webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,11_VEICULOS_ANTIGOS,alto,nao,veiculo antigo bem caracterizado
Photos-3-001/unnamed (7).webp,unnamed (7).webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-01.webp,02_HERO,alto,nao,"horizontal, veiculo e caminhonete plataforma claros"
Photos-3-001/unnamed (8).webp,unnamed (8).webp,marcus-reboque-guincho-pequeno-caminhao-fortaleza-ce-01.webp,13_PEQUENOS_CAMINHOES,alto,nao,"boa composicao horizontal, mas com letreiros de fundo"
Photos-3-001/unnamed (9).webp,unnamed (9).webp,marcus-reboque-transporte-maquina-agricola-fortaleza-ce-03.webp,10_MAQUINAS_AGRICOLAS,medio,nao,equipamento rebocavel; tipo exato nao comprovado
Photos-3-001/unnamed (10).webp,unnamed (10).webp,marcus-reboque-guincho-carro-fortaleza-ce-04.webp,04_CARROS,alto,possivel semelhante a #005 e #058,boa presenca da marca Marcus Reboque
