id,caminho,nome_arquivo,categoria,pagina_principal,secao_principal,paginas_secundarias,funcao_visual,prioridade,reutilizacao,qualidade,orientacao,alt_text,legenda,titulo_editorial,proporcao_recomendada,largura_recomendada,object_position,comportamento_mobile,status,observacoes
001,IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,marcus-reboque-logotipo-fortaleza-ce-01.png,01_LOGOTIPOS,sobre a Marcus Reboque,"Header, presenca oficial e paginas institucionais",homepage; servicos sem cobertura fotografica; sobre; avaliacoes; contato,institucional,P1,reutilizacao controlada: homepage: Header; homepage: Presenca oficial; homepage: Footer,alta,quadrada,Logotipo da Marcus Reboque 24h com indicacao Fortaleza-CE,,Logotipo Marcus Reboque 24h Fortaleza-CE em fundo,1:1,800 px,center,mesmo arquivo funciona,publicavel,arquivo de marca; preservar proporcao quadrada
002,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/12_PEQUENAS_CARGAS/marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,marcus-reboque-transporte-pequenas-cargas-fortaleza-ce-01.jpg,14_PEQUENAS_CARGAS,transporte programado,Cards de servicos,homepage; transporte de pequenas cargas,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de pequenas cargas: card; transporte programado: imagem principal; limitar usos para evitar repeticao,media,quadrada,Tubos metalicos amarrados sobre caminhao plataforma da Marcus Reboque,Transporte programado de pequenas cargas em plataforma.,Tubos metalicos amarrados sobre plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,carga bem identificavel; amarracao visivel
004,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,04_CARROS,guincho para carros,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; guincho para carros: card; servicos: secundaria,alta,quadrada,Carro hatch branco transportado em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Carro hatch branco transportado em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,imagem clara do servico
005,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,marcus-reboque-guincho-carro-fortaleza-ce-02.jpg,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para carros: galeria,media,quadrada,Sedan vermelho transportado em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan vermelho transportado em plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,possivel sequencia de atendimento com sedan vermelho
006,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-01.jpg,marcus-reboque-guincho-van-fortaleza-ce-01.jpg,06_VANS,guincho para vans,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; guincho para vans: card; servicos: secundaria,media,quadrada,Van/furgao de servico de saude sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Van/furgao de servico de saude sobre plataforma,4:3 ou 1:1,640 px,right center,mesmo arquivo funciona,publicavel,ha marca de terceiro no veiculo transportado; usar com cautela; usar com cautela por marcas/dados de terceiros
007,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,03_MOTOS,guincho para motos,Cards de servicos,homepage; servicos,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; guincho para motos: card; servicos: secundaria,alta,quadrada,Motocicleta vermelha transportada em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Motocicleta vermelha transportada em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,moto bem visivel
008,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-02.webp,marcus-reboque-guincho-moto-fortaleza-ce-02.webp,03_MOTOS,guincho para motos,Galeria / reserva editorial,auto socorro 24 horas,galeria,P3,reutilizacao controlada: guincho para motos: secundaria; auto socorro 24 horas: card,media,quadrada,Motocicletas transportadas em area coberta/abastecimento,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Motocicletas transportadas em area coberta/abastecimento,1:1,800 px,center,mesmo arquivo funciona,publicavel,luz artificial; bom apoio para servico 24h
010,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-03.webp,marcus-reboque-guincho-carro-fortaleza-ce-03.webp,04_CARROS,guincho para carros,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para carros: galeria,media,quadrada,Sedan branco transportado em caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Sedan branco transportado em plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,bom registro de atendimento diurno
011,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-03.webp,marcus-reboque-guincho-moto-fortaleza-ce-03.webp,03_MOTOS,guincho para motos,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para motos: secundaria; guincho para motos: galeria,media,quadrada,Motocicleta preta sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,Motocicleta preta sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,"imagem clara, com enquadramento central"
012,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-01.webp,marcus-reboque-guincho-caminhonete-fortaleza-ce-01.webp,05_CAMINHONETES,guincho para caminhonetes,Galeria / reserva editorial,nenhuma,galeria,P3,reutilizacao controlada: guincho para caminhonetes: galeria,media,quadrada,SUV branco de grande porte sobre caminhao plataforma da Marcus Reboque,Veiculo transportado em caminhao plataforma da Marcus Reboque.,SUV branco de grande porte sobre plataforma,1:1,800 px,center,mesmo arquivo funciona,publicavel,data sobreposta no canto; possivel mesmo atendimento de #023
013,IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,11_VEICULOS_ANTIGOS,transporte de veiculos antigos,Cards de servicos,homepage,card de servico,P1,reutilizacao controlada: homepage: Cards dos tipos de veiculos e servicos; transporte de veiculos antigos: card; transporte de veiculos antigos: prova,media,quadrada,Fusca azul antigo transportado em caminhao plataforma da Marcus Reboque,Transporte de veiculo antigo em plataforma.,Fusca azul antigo transportado em plataforma,4:3 ou 1:1,640 px,center,mesmo arquivo funciona,publicavel,veiculo antigo bem caracterizado
014,IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-01.webp,marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-01.webp,02_HERO,guincho para caminhonetes,Hero interno / imagem principal,nenhuma,hero interno,P1,reutilizacao controlada: guincho para caminhonetes: secundaria,alta,horizontal,SUV prata sobre caminhao plataforma em area externa da Marcus Reboque,,SUV prata sobre plataforma em area externa,16:9 ou 4:3 controlado,1200 px,center,exige recorte controlado,publicavel,"horizontal, veiculo e caminhonete plataforma claros"
