slug,introducao_unica,quando_contratar,processo,cuidados,orcamento,preco_fatores,faq_especifica,prova_visual,cta_especifico,similaridade,risco_thin_content,status
"guincho-para-motos-fortaleza","sim","sim","sim","sim","sim","rota; acesso; condição da moto","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"guincho-para-carros-fortaleza","sim","sim","sim","sim","sim","rota; acesso; estado do carro","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"guincho-para-caminhonetes-fortaleza","sim","sim","sim","sim","sim","porte; acesso; destino","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"guincho-para-vans-fortaleza","sim","sim","sim","sim","sim","altura; acesso; distância","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-utilitarios-fortaleza","sim","sim","sim","sim","sim","modelo; acesso; viabilidade","sim","institucional","WhatsApp + telefone","MÉDIA","médio","publicada"
"transporte-de-veiculos-especiais-fortaleza","sim","sim","sim","sim","sim","dimensões; adaptações; acesso","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-barcos-fortaleza","sim","sim","sim","sim","sim","suporte; dimensões; acesso","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-maquinas-agricolas-fortaleza","sim","sim","sim","sim","sim","peso; altura; piso","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-veiculos-antigos-fortaleza","sim","sim","sim","sim","sim","conservação; acesso; mobilidade","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-empilhadeiras-fortaleza","sim","sim","sim","sim","sim","peso; piso; manobra","sim","sim","WhatsApp + telefone","MÉDIA","médio","publicada"
"guincho-para-pequenos-caminhoes-fortaleza","sim","sim","sim","sim","sim","porte; acesso; condição mecânica","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
"transporte-de-pequenas-cargas-fortaleza","sim","sim","sim","sim","sim","volume; peso; fixação","sim","sim","WhatsApp + telefone","MÉDIA","baixo","publicada"
