pagina,imagem_principal,imagem_card,imagens_secundarias,imagem_prova,imagem_og,galeria,cobertura_visual,pendencias,observacoes
guincho para motos,#022 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,#007 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-01.jpg,#008 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-02.webp | #011 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-03.webp | #036 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-04.webp,#044 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-05.webp,#022 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-moto-fortaleza-ce-01.webp,#011 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-03.webp | #036 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/01_MOTOS/marcus-reboque-guincho-moto-fortaleza-ce-04.webp,FORTE,nenhuma pendencia critica,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
guincho para carros,#029 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,#004 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-01.jpg,#021 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-06.webp | #030 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-07.webp | #046 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-09.webp,#047 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-10.webp,#029 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-carro-fortaleza-ce-01.webp,#005 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-02.jpg | #010 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-03.webp | #017 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-04.webp | #058 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-13.webp | #077 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-14.webp | #083 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/02_CARROS/marcus-reboque-guincho-carro-fortaleza-ce-16.webp,FORTE,"evitar repeticao dos sedans vermelhos #005, #017 e #058",Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
guincho para caminhonetes,#023 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,#018 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-02.webp,#014 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-01.webp | #028 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-03.webp | #079 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-14.webp,#061 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-07.webp,#023 IMAGENS_MARCUS_REBOQUE/02_HERO/marcus-reboque-hero-guincho-caminhonete-fortaleza-ce-02.webp,#012 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-01.webp | #034 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-04.webp | #042 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-06.webp | #068 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-10.webp | #072 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-11.webp | #075 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/03_CAMINHONETES/marcus-reboque-guincho-caminhonete-fortaleza-ce-13.webp,FORTE,#064 fica exclusivo da homepage; nao usar como principal interna,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
guincho para vans,#039 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-04.webp,#006 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-01.jpg,#025 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-02.webp | #027 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-03.webp,#027 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-03.webp,#039 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/04_VANS/marcus-reboque-guincho-van-fortaleza-ce-04.webp,nenhuma,FORTE,usar com cautela quando houver marca de terceiro no veiculo transportado,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de utilitarios,nenhuma,nenhuma,nenhuma,nenhuma,#001 IMAGENS_MARCUS_REBOQUE/01_IDENTIDADE_VISUAL/marcus-reboque-logotipo-fortaleza-ce-01.png,nenhuma,AUSENTE,"pendencia visual; usar placeholder institucional, sem foto de outra categoria",Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de veiculos especiais,#076 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,#050 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp,#070 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-02.webp,#050 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-01.webp,#076 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/06_VEICULOS_ESPECIAIS/marcus-reboque-transporte-veiculo-especial-fortaleza-ce-03.webp,nenhuma,FORTE,nenhuma pendencia critica,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de barcos e jet skis,#059 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-02.webp,#020 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-01.webp,nenhuma,#020 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-01.webp,#059 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/07_BARCOS_E_JET_SKIS/marcus-reboque-transporte-barco-fortaleza-ce-02.webp,nenhuma,SUFICIENTE,apenas duas imagens aprovadas; manter uso disciplinado,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de maquinas agricolas,#065 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,#060 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,nenhuma,#060 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-04.webp,#065 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/08_MAQUINAS_AGRICOLAS/marcus-reboque-transporte-maquina-agricola-fortaleza-ce-05.webp,nenhuma,SUFICIENTE,algumas imagens de maquinas ficaram pendentes por confianca media,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de veiculos antigos,#081 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,#013 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,#071 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-03.webp,#013 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-01.webp,#081 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/09_VEICULOS_ANTIGOS/marcus-reboque-transporte-veiculo-antigo-fortaleza-ce-04.webp,nenhuma,FORTE,nenhuma pendencia critica,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
transporte de empilhadeiras,#024 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/10_EMPILHADEIRAS/marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,#024 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/10_EMPILHADEIRAS/marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,nenhuma,nenhuma,#024 IMAGENS_MARCUS_REBOQUE/03_SERVICOS/10_EMPILHADEIRAS/marcus-reboque-transporte-empilhadeira-fortaleza-ce-01.webp,nenhuma,FRACA,somente uma imagem aprovada e vertical,Open Graph deve ser derivado futuramente em 1200x630 px; nao gerar nesta etapa.
